Supply_id,Item_name,Item_size,Item_price
1,Fugu Vodka,750,17
2,PAMA Pomegranate Liquer,750,22
3,Soda Water,50,5
4,St. Elder Elderflower Liquer,750,15
5,Ketel One Botanical Grapefruit & Rose Vodka,750,5
6,Prickly Pear Vodka,50,32
7,Sparking Wine,750,20
8,Chambord,375,40
9,Smirnoff Twist Cherry Vodka,750,12
10,Orange Juice,1500,3
11,Ketel One Botanical Peach & Orange Blossom Vodka,750,35
12,Aperol,750,25
13,Old Grove Gin,750,25
14,Tabasco,350,10
15,Bali Hai Tiki Gold,750,35
16,Simple Syrup,750,10
17,Cranberry Juice,1500,2
18,Espolon Blanco Tequila,750,25
19,Triple Sec,750,40
20,Ruby Red Grapefruit Juice,1500,2
21,Zyr Vodka,750,30
22,Framboise,750,11
23,One Roq Raspberry Vodka,750,28
24,Maker's Mark Bourbon,750,30
25,Angostura Bitters,120,23
26,Redemption Rye,750,24
27,Italian Sweet Vermouth,375,7
28,Ginger Beer,375,3
29,Jim Beam Bourbon,750,25
30,Jameson Caskmates Irish Whiskey,750,30
31,Three Sheets Spiced Rum,750,30
32,Bali Hai Coconum Rum,750,30
